Node_ID,Population
1,382818
2,358487
3,77347
4,255365
6,323584
7,344013
10,391665
11,518912
12,360416
13,600582
15,555556
16,365777
17,676198
46,745091
53,1260000
57,500074
58,384129
60,472648
62,275227
63,237580
67,372061
70,549462
72,410830
73,416825
74,332776
77,456249
78,253403
79,678665
80,772784
81,701095
83,358318
85,425519
87,367639
89,266339
90,423735
91,219062
95,312742
98,392477
106,235718
108,299539
109,226762
111,306539
112,392019
115,259180
116,274523
117,213682
119,823658
120,752402
121,1130000
122,380850
123,436022
124,622026
125,427089
126,738599
127,670114
128,297965
129,710675
130,559977
132,453694
133,348254
134,236907
135,401563
136,606549
141,328311
142,678890
144,359131
151,398760
152,642230
153,780496
154,453783
162,333746
163,261036
164,721396
169,387116
179,357141
184,974770
191,446918
192,469289
194,325590
197,218694
200,197335
205,541263
207,384430
208,545202
210,631443
212,365452
213,530716
218,573083
219,507495
220,310701
222,512007
224,126477
225,196708
229,506115
230,256321
239,692250
242,429235
243,125273
244,329166
246,292501
247,335349
252,601175
253,556830
265,487772
267,435305
271,250930
273,272443
274,444424
275,1120000
278,175183
282,489825
283,375253
284,295652
285,562900
286,854052
292,283736
297,143032
301,140327
303,114288
304,189326
306,304357
312,251295
315,205396
